Tweet,Date
भारतबाट पाँचथर पुगेका दुईजना आइसोलेसनमा https://t.co/OSV6EXDN1c via @Annapurna_Post, Mar 27 2020 
कोरोना जोखिम : अलमलमा स्थानीय सरकार https://t.co/XYO8QAgatv via Annapurna Post, Mar 27 2020 
भोकै अलपत्र परेका रिक्सा चालकलाई खाद्यान्न बाढ्दै युवा https://t.co/8qspSBfFxR, Mar 27 2020 
कोरोना नियन्‍त्रणमा खट्ने स्वास्थ्यकर्मी र सुरक्षाकर्मीलाई कर्णालीमा थप सुविधा https://t.co/cTSVwBtJ1L via @Annapurna_Post, Mar 27 2020 
लकडाउन थप कडाइ : प्रहरीको विशेष टोली परिचालन https://t.co/t7mJJmYo3I, Mar 27 2020 
चीन-अमेरिका वार्ता : कोरोना महामारीविरुद्ध मिलेर काम गर्न तयार https://t.co/apadQFY0GM, Mar 27 2020 
दुई स्पेनी नागरिक दुई महिनादेखि गोरखाको घ्याच्चोकमा https://t.co/WDv1ynJd54 via @Annapurna_Post, Mar 27 2020 
३०७ पर्यटक लिएर फर्कियो कतार एयरलाइन्सको जहाज https://t.co/DwtT2CviZV via Annapurna Post, Mar 27 2020 
अब बजारमा आधा भरेको ग्यास पाइने https://t.co/XaOo4hChFb, Mar 27 2020 
स्वास्थ्यकर्मीलाई सुरक्षा सामग्री उपलब्ध गराउन सरकारसँग चिकित्सक संघको माग https://t.co/YMxeHUTXbo via @Annapurna_Post, Mar 27 2020 
कोरोना त्रास : कालिकोटका देवताले लिन मानेन् बली https://t.co/dUO1Lbjabj via @Annapurna_Post, Mar 27 2020 
कोरोना कहर : जहाँ अपरिचित व्यक्तिलाई निषेध छ https://t.co/aVR9iR6lyN, Mar 27 2020 
आमा छट्पटाउँदै अस्पतालको प्राङ्गणमा छोरा रुँदै डाक्टरको ढोकामा https://t.co/QNfxeD0JJt, Mar 27 2020 
मुख्यमन्‍त्रीसँग कोरोना नियन्‍त्रण समितिका संयोजकको भिडियो ‘कन्‍फेरेन्‍स’ https://t.co/ZZb35yYsCs via @Annapurna_Post, Mar 27 2020 
सीडीओ भन्छन्‘पास मागेरै हैरान बनाए’ https://t.co/kC2O2oDe3P, Mar 27 2020 
'कोरोना उपचारको लागि बिएण्डसी हस्पिटल सरकारलाई दिन तयार छौं' https://t.co/KgwJSDIkIQ, Mar 27 2020 
कोरोना कहर : नेपालगन्जका मुस्लिमको नमाज घरघरमा https://t.co/4L3U3wa98O via @Annapurna_Post, Mar 27 2020 
गाउँका सडकमा नागरिकको ढाट https://t.co/mpej4OIGRI via @Annapurna_Post, Mar 27 2020 
कर्मचारीलाई कोरोना कोषमा तलब जम्मा गर्न सरकारको निर्देशन https://t.co/sGwTj55H7H via @Annapurna_Post, Mar 27 2020 
बिग्रिएर थन्किएका छन् अस्पतालका एम्बुलेन्स https://t.co/JxdbruUVxr, Mar 27 2020 
कालिकोटमा ५४ जना क्वालेन्टाइनमा https://t.co/ZXupeu6Bqr via Annapurna Post, Mar 27 2020 
गोरखामा लकडाउनको मौका छोप्दै चालक : बिरामी बोक्ने एम्बुलेन्समा यात्रु सरर... https://t.co/AgkiFEsiN2 via @Annapurna_Post, Mar 27 2020 
