Tweet,Date
महावीर पुनले तयार गरेको नमुना पीपीई मेडिकल काउन्सिलबाट स्वीकृत आजैबाट ४ सय थान सिलाउन सुरु https://t.co/SqRTplYZSk,Mar 27 2020 
सन्दीप लामिछानेले कोरोना रोकथाम कोषलाई १ लाख दिने https://t.co/mjTBgAnG6B,Mar 27 2020 
नेपालले खेल्ने नामिबिया सिरिज स्थगित https://t.co/kRw30JGNNa,Mar 27 2020 
सामाजिक संघसंस्थाले चलाएका धर्मशालामा २ सय २० शय्याको क्वारेन्टाइन https://t.co/em00WIx4s0,Mar 26 2020 
बेलायतमा कोराना संक्रमणबाट छोरीको मृत्युपछि आमाले भनिन्'आफू बचौं अरुलाई नि बचाऔं' https://t.co/SvQRLopU95,Mar 26 2020 
विदेशी नागरिकलाई चीन प्रवेशमा प्रतिबन्ध https://t.co/VOwVipU0kc,Mar 26 2020 
लकडाउन सफल बनाउन स्थानीयको यस्तो जुक्ति : बाटो छेकेर गाउँ प्रवेशमै निषेध https://t.co/PelYVMmHuH,Mar 26 2020 
सन्दीप लामिछानेले कोरोना रोकथाम कोषलाई १ लाख दिने https://t.co/mjTBgAnG6B,Mar 26 2020 
छुट्टै ‘फिवर क्लिनिक’ सञ्चालन गर्न सबै ‘हब हस्पिटल’लाई सरकारले दियो १० लाख https://t.co/iDOCgDMf08,Mar 26 2020 
प्रधानमन्त्री र शीर्ष नेताका घरमा आवश्यक सबै बस्तु उपलब्ध होलान्। शीर्ष नेताले सामाजिक सञ्जालमा स्टाटस् लेख्दैमा दैनिक ज्यालादारी गरेर जीविकोपार्जन गर्ने नागरिकको दुई छाक पाक्ला त? https://t.co/5VzLolgks5,Mar 26 2020 
लकडाउनमा यस्तो देखियो सम्पदा क्षेत्र : पाटनदेखि पशुपति भक्तपुरदेखि बौद्ध #heritagenepal #COVID19 https://t.co/Qcw62VnWhk,Mar 26 2020 
नर्भिकमा कोरोना भाइरसको विरामीको उपचारका लागि १५ शैय्याको आइसोलेसन वार्ड तयार https://t.co/x8ivI4nAb3,Mar 26 2020 
